babel_user,babel_lang,babel_level
183390,ast,2
206616,ast,2
207691,ast,2
247860,ast,2
318852,ast,2
319516,ast,2
328978,ast,2
551320,ast,2
630850,ast,2
635097,ast,2
693220,ast,2
748849,ast,2
765258,ast,2
939721,ast,2
1042609,ast,2
1222060,ast,2
1317955,ast,2
1336031,ast,2
1403053,ast,2
1733090,ast,2
2330316,ast,2
2429921,ast,2
3871729,ast,2
5173783,ast,2
5878747,ast,2
260997,ast,3
298503,ast,3
351151,ast,3
355609,ast,3
418437,ast,3
593009,ast,3
955766,ast,3
1054060,ast,3
1091622,ast,3
1422156,ast,3
1425063,ast,3
2386217,ast,3
3569286,ast,3
4480550,ast,3
4955543,ast,3
5047405,ast,3
5908806,ast,3
42113,ast,4
714106,ast,4
878267,ast,4
1041492,ast,4
1119059,ast,4
2265444,ast,4
4450322,ast,4
4736548,ast,4
4369807,ast,5
5865698,ast,5
18760,ast,N
23901,ast,N
37429,ast,N
87841,ast,N
173260,ast,N
176198,ast,N
187518,ast,N
221467,ast,N
240222,ast,N
302875,ast,N
313398,ast,N
387968,ast,N
445882,ast,N
562379,ast,N
582913,ast,N
596380,ast,N
667549,ast,N
704678,ast,N
743539,ast,N
848819,ast,N
963456,ast,N
1121087,ast,N
1249687,ast,N
1270096,ast,N
1289637,ast,N
1296137,ast,N
1330785,ast,N
1405706,ast,N
1463614,ast,N
1576195,ast,N
1630953,ast,N
4022840,ast,N
4076350,ast,N
4673052,ast,N
4674373,ast,N
5523643,ast,N
5928200,av,0
5802087,avk,2
1306974,ay,0
90823,ay,1
453250,ay,1
819609,ay,1
1128367,ay,1
2493076,az,0
5928200,az,0
1089549,az,1
52238,az,2
87482,az,2
390407,az,4
6133605,az,4
4596646,az,N
5928200,azb,0
6133605,azb,N
5928200,ba,0
5928200,ban,0
5928200,bar,0
4030684,bar,1
4544933,bar,1
612646,bar,2
1617779,bar,3
2392585,bar,N
3402170,bar,N
5928200,bcl,0
4715583,bcl,1
3873127,be,0
102876,be,1
730125,be,1
998086,be,1
1481129,be,1
2134100,be,1
3576103,be,1
4968524,be,1
5928200,be,1
116735,be,2
157401,be,2
204261,be,2
1078010,be,2
1699132,be,2
3770904,be,2
338617,be,3
664530,be,3
1031903,be,3
1781322,be,3
1855181,be,3
1555967,be,4
5051469,be,4
27496,be,N
1767189,be,N
5459802,be,N
5928200,be-tarask,0
4715583,bew,N
171954,bg,0
2493076,bg,0
157401,bg,1
296533,bg,1
570981,bg,1
592962,bg,1
998086,bg,1
1229187,bg,1
1229654,bg,1
1240622,bg,1
1419743,bg,1
1481129,bg,1
1704407,bg,1
1914924,bg,1
3269946,bg,1
4339332,bg,1
4968524,bg,1
750158,bg,2
5919219,bg,2
5924911,bg,2
5928200,bg,2
338617,bg,3
1031903,bg,3
3276151,bg,3
1767189,bg,4
661340,bg,N
727183,bg,N
1203390,bg,N
1729612,bg,N
2406523,bg,N
4371993,bg,N
5234823,bg,N
5928200,bi,0
5928200,bjn,0
4715583,bjn,1
5928200,bm,0
5928200,bn,3
5928200,bo,0
48520,br,0
5928200,br,0
5093917,br,2
4779301,br,4
998086,bs,1
1419743,bs,1
4583915,bs,1
4909634,bs,1
1353325,bs,3
1536717,bs,3
4968524,bs,3
2436849,bs,4
5504579,bs,4
5919219,bs,4
5555136,bs,5
1693492,bs,N
2348386,bs,N
4715583,bug,0
5928200,bug,0
175370,ca,0
319999,ca,0
322233,ca,0
335066,ca,0
1086935,ca,0
1160123,ca,0
1310079,ca,0
1337465,ca,0
1429276,ca,0
1560075,ca,0
1724886,ca,0
1930520,ca,0
2026337,ca,0
2168563,ca,0
2244954,ca,0
2518605,ca,0
3715140,ca,0
4278447,ca,0
5432350,ca,0
5521611,ca,0
5814828,ca,0
5814832,ca,0
5928200,ca,0
6202686,ca,0
6253432,ca,0
6441,ca,1
8989,ca,1
11570,ca,1
13105,ca,1
13714,ca,1
14625,ca,1
18169,ca,1
19806,ca,1
19970,ca,1
20096,ca,1
23590,ca,1
26294,ca,1
28345,ca,1
28901,ca,1
30229,ca,1
33990,ca,1
35262,ca,1
36997,ca,1
37253,ca,1
37689,ca,1
40116,ca,1
42213,ca,1
46619,ca,1
46747,ca,1
46924,ca,1
48866,ca,1
49738,ca,1
49851,ca,1
51252,ca,1
51419,ca,1
52728,ca,1
55416,ca,1
68824,ca,1
70924,ca,1
72449,ca,1
72658,ca,1
73981,ca,1
76148,ca,1
77982,ca,1
79878,ca,1
83482,ca,1
84963,ca,1
90750,ca,1
95038,ca,1
96592,ca,1
98793,ca,1
101970,ca,1
102096,ca,1
105495,ca,1
107007,ca,1
110945,ca,1
116681,ca,1
136933,ca,1
146279,ca,1
153304,ca,1
157401,ca,1
157755,ca,1
158558,ca,1
161663,ca,1
162840,ca,1
165569,ca,1
170061,ca,1
171105,ca,1
171746,ca,1
178792,ca,1
195600,ca,1
197448,ca,1
206616,ca,1
215442,ca,1
217354,ca,1
219500,ca,1
248595,ca,1
250051,ca,1
250455,ca,1
251570,ca,1
264207,ca,1
270066,ca,1
270076,ca,1
270330,ca,1
278496,ca,1
295648,ca,1
301503,ca,1
301560,ca,1
308138,ca,1
315011,ca,1
323891,ca,1
339156,ca,1
342957,ca,1
352719,ca,1
358545,ca,1
358888,ca,1
360008,ca,1
363065,ca,1
391850,ca,1
426421,ca,1
429527,ca,1
443260,ca,1
448029,ca,1
452979,ca,1
455954,ca,1
477561,ca,1
483793,ca,1
486517,ca,1
515190,ca,1
521139,ca,1
530896,ca,1
536307,ca,1
554450,ca,1
562218,ca,1
572064,ca,1
587855,ca,1
597230,ca,1
603489,ca,1
607497,ca,1
622035,ca,1
630850,ca,1
653398,ca,1
655377,ca,1
659320,ca,1
674688,ca,1
680537,ca,1
682842,ca,1
686939,ca,1
692585,ca,1
693715,ca,1
722196,ca,1
722468,ca,1
738168,ca,1
748111,ca,1
748563,ca,1
769657,ca,1
826419,ca,1
841950,ca,1
864599,ca,1
880080,ca,1
884273,ca,1
904906,ca,1
910033,ca,1
922277,ca,1
938882,ca,1
987302,ca,1
990173,ca,1
995291,ca,1
1015325,ca,1
1027737,ca,1
1043867,ca,1
1101863,ca,1
1131313,ca,1
1139891,ca,1
1147415,ca,1
1194382,ca,1
1203381,ca,1
1213526,ca,1
1259162,ca,1
1280650,ca,1
1294363,ca,1
1324600,ca,1
1331545,ca,1
1358159,ca,1
1375529,ca,1
1376251,ca,1
1442525,ca,1
1453752,ca,1
1490921,ca,1
1495557,ca,1
1498313,ca,1
1525162,ca,1
1539837,ca,1
1547418,ca,1
1576441,ca,1
1589012,ca,1
1603934,ca,1
1607564,ca,1
1652052,ca,1
1657876,ca,1
1695170,ca,1
1733090,ca,1
1740543,ca,1
1749425,ca,1
1757269,ca,1
1771052,ca,1
1792084,ca,1
1796499,ca,1
1822798,ca,1
1858406,ca,1
1902029,ca,1
1929252,ca,1
1996207,ca,1
2027307,ca,1
2034920,ca,1
2191049,ca,1
2193190,ca,1
2210863,ca,1
2271481,ca,1
2340037,ca,1
2398700,ca,1
2398701,ca,1
2398712,ca,1
2493076,ca,1
2520598,ca,1
2564755,ca,1
2565782,ca,1
2575920,ca,1
2581781,ca,1
2755587,ca,1
2766542,ca,1
2771028,ca,1
2898914,ca,1
2921084,ca,1
2929690,ca,1
2946492,ca,1
3018274,ca,1
3358198,ca,1
3375409,ca,1
3385685,ca,1
